id,所属コード,グループ名,表示順,DN,有効期限（開始）,有効期限（終了）
,G414041,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/南Ⅱ/南の沢児童会館/藻岩南小ミニ児童会館,650,,,
,G414050,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/南Ⅱ/みすまい児童会館,660,,,
,G414051,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/南Ⅱ/みすまい児童会館/定山渓小ミニ児童会館,670,,,
,G415000,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲,680,,,
,G415010,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/手稲前田児童会館,690,,,
,G415020,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/富丘児童会館,700,,,
,G415021,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/富丘児童会館/富丘小ミニ児童会館,710,,,
,G415030,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/いなづみ児童会館,720,,,
,G415031,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/いなづみ児童会館/前田小ミニ児童会館,730,,,
,G415040,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/西宮の沢児童会館,740,,,
,G415041,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/西宮の沢児童会館/新発寒小ミニ児童会館,750,,,
,G415050,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/新発寒児童会館,760,,,
,G415051,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/新発寒児童会館/新陵小ミニ児童会館,770,,,
,G415060,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/前田しらかば児童会館,780,,,
,G415061,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/前田しらかば児童会館/前田中央小ミニ児童会館,790,,,
,G415070,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/星置児童会館,800,,,
,G415071,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/星置児童会館/星置東小ミニ児童会館,810,,,
,G415080,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/稲穂児童会館,820,,,
,G415090,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/あけぼの児童会館,830,,,
,G415100,札幌児童館/こども若者事業部/こども育成課/中央・南・手稲/手稲/金山児童会館,840,,,
