id,所属コード,グループ名,表示順,DN,有効期限（開始）,有効期限（終了）
,G444060,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/北野児童会館,2450,,,
,G444061,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/北野児童会館/北野平小ミニ児童会館,2460,,,
,G444070,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/北野台児童会館,2470,,,
,G444080,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/平岡みどり児童会館,2480,,,
,G444081,札幌児童館/こども若者事業部/こども育成課/白石・厚別・清田/清田/平岡みどり児童会館/三里塚小ミニ児童会館,2490,,,
,H000000,札幌児童館/市民参画部,2500,,,
,H100000,札幌児童館/市民参画部/市民参画課,2510,,,
,I000000,札幌児童館/千歳事業所,2520,,,
,I100000,札幌児童館/千歳事業所/千歳事業所,2530,,,
,I110000,札幌児童館/千歳事業所/千歳事業所/青少年会館,2540,,,
,I120000,札幌児童館/千歳事業所/千歳事業所/南エリア,2550,,,
,I120010,札幌児童館/千歳事業所/千歳事業所/南エリア/しなの児童館,2560,,,
,I120011,札幌児童館/千歳事業所/千歳事業所/南エリア/しなの児童館/信濃学童クラブ,2570,,,
,I120020,札幌児童館/千歳事業所/千歳事業所/南エリア/ほくおう児童館,2580,,,
,I120021,札幌児童館/千歳事業所/千歳事業所/南エリア/ほくおう児童館/すこやか学童クラブ,2590,,,
,I120030,札幌児童館/千歳事業所/千歳事業所/南エリア/いずみさわ児童館,2600,,,
,I120031,札幌児童館/千歳事業所/千歳事業所/南エリア/いずみさわ児童館/ひまわり学童クラブ,2610,,,
,I120032,札幌児童館/千歳事業所/千歳事業所/南エリア/いずみさわ児童館/向陽台小学童クラブ,2620,,,
,I120040,札幌児童館/千歳事業所/千歳事業所/南エリア/希望が丘児童館,2630,,,
,I120041,札幌児童館/千歳事業所/千歳事業所/南エリア/希望が丘児童館/希望が丘学童クラブ,2640,,,
,I120042,札幌児童館/千歳事業所/千歳事業所/南エリア/希望が丘児童館/青空学童クラブ,2650,,,
,I120043,札幌児童館/千歳事業所/千歳事業所/南エリア/希望が丘児童館/みどりっこ学童クラブ,2660,,,
,I120044,札幌児童館/千歳事業所/千歳事業所/南エリア/希望が丘児童館/よつば学童クラブ,2670,,,
,I130000,札幌児童館/千歳事業所/千歳事業所/北エリア,2680,,,
,I130010,札幌児童館/千歳事業所/千歳事業所/北エリア/ひので児童館,2690,,,
,I130011,札幌児童館/千歳事業所/千歳事業所/北エリア/ひので児童館/ふれあい学童クラブ,2700,,,
,I130020,札幌児童館/千歳事業所/千歳事業所/北エリア/しゅくばい児童館,2710,,,
,I130021,札幌児童館/千歳事業所/千歳事業所/北エリア/しゅくばい児童館/祝梅学童クラブ,2720,,,
,I130030,札幌児童館/千歳事業所/千歳事業所/北エリア/せいりゅう児童館,2730,,,
,I130031,札幌児童館/千歳事業所/千歳事業所/北エリア/せいりゅう児童館/清流学童クラブ,2740,,,
,I130040,札幌児童館/千歳事業所/千歳事業所/北エリア/ちとせっこ児童館,2750,,,
,I130041,札幌児童館/千歳事業所/千歳事業所/北エリア/ちとせっこ児童館/ちとせっこ学童クラブ,2760,,,
,I130042,札幌児童館/千歳事業所/千歳事業所/北エリア/ちとせっこ児童館/あすなろ学童クラブ,2770,,,
,I130050,札幌児童館/千歳事業所/千歳事業所/北エリア/ほくよう児童館,2780,,,
,I130051,札幌児童館/千歳事業所/千歳事業所/北エリア/ほくよう児童館/にじいろ学童クラブ,2790,,,
,I130052,札幌児童館/千歳事業所/千歳事業所/北エリア/ほくよう児童館/たいよう学童クラブ,2800,,,
,I130053,札幌児童館/千歳事業所/千歳事業所/北エリア/ほくよう児童館/にこにこ学童クラブ,2810,,,
,I130060,札幌児童館/千歳事業所/千歳事業所/北エリア/みどり台児童館,2820,,,
,I130061,札幌児童館/千歳事業所/千歳事業所/北エリア/みどり台児童館/きらきら学童クラブ,2830,,,
,I130062,札幌児童館/千歳事業所/千歳事業所/北エリア/みどり台児童館/ぴかぴか学童クラブ,2840,,,
